Ticker,Composite_Z,Classification,Name,Company Name,Industry,SET ESG Ratings 
ETE.BK,0.0554071460373774,Neutral,ETE,,,
ETL.BK,0.8960768180626202,Neutral,ETL,,,
EURO.BK,-0.0607592795150435,Neutral,EURO,,,
EVER.BK,0.614323329413195,Neutral,EVER,,,
F&D.BK,1.0426133900223935,Weight Increase,F&D,,,
FANCY.BK,0.2786400979124441,Neutral,FANCY,,,
FE.BK,0.3989902411712323,Neutral,FE,,,
FLOYD.BK,0.4065807267422434,Neutral,FLOYD,,,
FM.BK,0.5811987908925756,Neutral,FM,,,
FMT.BK,-0.1241100732033002,Exit Point,FMT,,,
FN.BK,-0.2658846020217388,Exit Point,FN,,,
FNS.BK,-0.6167247037985196,Exit Point,FNS,,,
FORTH.BK,-0.0096394451146196,Neutral,FORTH,,,
FPI.BK,-0.1129818126161044,Exit Point,FPI,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,Industrials,AA
FPT.BK,-0.663916955739742,Exit Point,FPT,FRASERS PROPERTY (THAILAND) PUBLIC COMPANY LIMITED,Property & Construction,AA
FSMART.BK,0.1460442953321356,Neutral,FSMART,,,
FSX.BK,-0.3562129562740419,Exit Point,FSX,,,
FTE.BK,0.5778231384019217,Neutral,FTE,,,
FTI.BK,0.1276327060769031,Neutral,FTI,,,
FTREIT.BK,0.2310347081968541,Neutral,FTREIT,,,
FUTURERT.BK,-0.2712255771989971,Exit Point,FUTURERT,,,
FVC.BK,0.3554502397983784,Neutral,FVC,,,
GABLE.BK,0.4164474955804465,Neutral,GABLE,G-ABLE PUBLIC COMPANY LIMITED,Technology,BBB
GAHREIT.BK,0.0420914767999916,Neutral,GAHREIT,,,
GBX.BK,-0.3160975046486306,Exit Point,GBX,,,
GC.BK,-0.4718053144166235,Exit Point,GC,,,
GCAP.BK,0.4208926482920375,Neutral,GCAP,G CAPITAL PUBLIC COMPANY LIMITED,Financials,A
GEL.BK,-0.2193390292808623,Exit Point,GEL,,,
GENCO.BK,-0.27786991941492,Exit Point,GENCO,,,
GFC.BK,-1.1419865668964253,Exit Point,GFC,,,
GFPT.BK,0.3531017068871722,Neutral,GFPT,,,
GGC.BK,0.5715159462066602,Neutral,GGC,,,
GJS.BK,0.4071273966184295,Neutral,GJS,,,
GL.BK,-1.754766334642883,Exit Point,GL,,,
GLAND.BK,0.0885242731438608,Neutral,GLAND,,,
GLOBAL.BK,-0.6895521892108072,Exit Point,GLOBAL,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,Services,AA
GLOCON.BK,0.3334574482349152,Neutral,GLOCON,,,
GLORY.BK,0.0204852194673035,Neutral,GLORY,,,
GPI.BK,0.3550404127545948,Neutral,GPI,,,
GPSC.BK,0.2255389117231644,Neutral,GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,Resources,AAA
GRAMMY.BK,-0.0595787844790384,Neutral,GRAMMY,,,
GRAND.BK,0.6636469277265851,Neutral,GRAND,,,
GREEN.BK,-0.5043352308331274,Exit Point,GREEN,,,
GROREIT.BK,0.1476142331809272,Neutral,GROREIT,,,
GSTEEL.BK,0.0226114715640208,Neutral,GSTEEL,,,
GTB.BK,0.2730299914503851,Neutral,GTB,,,
GTV.BK,0.2178749592279746,Neutral,GTV,,,
GULF.BK,0.1516628278895849,Neutral,GULF,GULF DEVELOPMENT PUBLIC COMPANY LIMITED,Resources,AAA
GUNKUL.BK,-0.2496837698495793,Exit Point,GUNKUL,GUNKUL ENGINEERING PUBLIC COMPANY LIMITED,Resources,AA
GVREIT.BK,0.4978990071069976,Neutral,GVREIT,,,
GYT.BK,0.3971362311209199,Neutral,GYT,,,
